campaign_id,capture_id,pcap_name,scenario_id,scenario_family,label_binary,packet_count,flow_count,status,source_host,target_host,started_at_utc,notes,split
benign_campaign_20260328_0015,benign_campaign_20260328_0015_N01_run01,benign_campaign_20260328_0015_N01_run01.pcap,N01,normal_icmp,normal,10,1,ok,172.30.1.23,172.30.1.21,2026-03-28T10:36:22Z,ubuntu ping meta2,train
benign_campaign_20260328_0015,benign_campaign_20260328_0015_N01_run02,benign_campaign_20260328_0015_N01_run02.pcap,N01,normal_icmp,normal,10,1,ok,172.30.1.23,172.30.1.21,2026-03-28T10:37:08Z,ubuntu ping meta2,train
benign_campaign_20260328_0015,benign_campaign_20260328_0015_N01_run03,benign_campaign_20260328_0015_N01_run03.pcap,N01,normal_icmp,normal,12,2,ok,172.30.1.23,172.30.1.21,2026-03-28T10:37:56Z,ubuntu ping meta2,train
benign_campaign_20260328_0015,benign_campaign_20260328_0015_N01_run04,benign_campaign_20260328_0015_N01_run04.pcap,N01,normal_icmp,normal,10,1,ok,172.30.1.23,172.30.1.21,2026-03-28T10:38:44Z,ubuntu ping meta2,train
benign_campaign_20260328_0015,benign_campaign_20260328_0015_N01_run05,benign_campaign_20260328_0015_N01_run05.pcap,N01,normal_icmp,normal,10,1,ok,172.30.1.23,172.30.1.21,2026-03-28T10:39:31Z,ubuntu ping meta2,train
benign_campaign_20260328_0015,benign_campaign_20260328_0015_N01_run06,benign_campaign_20260328_0015_N01_run06.pcap,N01,normal_icmp,normal,10,1,ok,172.30.1.23,172.30.1.21,2026-03-28T10:40:18Z,ubuntu ping meta2,train
first_campaign_20260327_2212,first_campaign_20260327_2212_N01,first_campaign_20260327_2212_N01.pcap,N01,normal_icmp,normal,10,1,ok,172.30.1.23,172.30.1.21,2026-03-28T02:11:41Z,ubuntu ping meta2,validation
second_campaign_20260327_2220,second_campaign_20260327_2220_N01_run01,second_campaign_20260327_2220_N01_run01.pcap,N01,normal_icmp,normal,10,1,ok,172.30.1.23,172.30.1.21,2026-03-28T02:28:49Z,ubuntu ping meta2,test
second_campaign_20260327_2220,second_campaign_20260327_2220_N01_run02,second_campaign_20260327_2220_N01_run02.pcap,N01,normal_icmp,normal,10,1,ok,172.30.1.23,172.30.1.21,2026-03-28T02:30:44Z,ubuntu ping meta2,test
benign_campaign_20260328_0015,benign_campaign_20260328_0015_N02_run01,benign_campaign_20260328_0015_N02_run01.pcap,N02,normal_http,normal,10,1,ok,172.30.1.23,172.30.1.21,2026-03-28T10:36:32Z,ubuntu curl meta2 http,train
benign_campaign_20260328_0015,benign_campaign_20260328_0015_N02_run02,benign_campaign_20260328_0015_N02_run02.pcap,N02,normal_http,normal,12,1,ok,172.30.1.23,172.30.1.21,2026-03-28T10:37:18Z,ubuntu curl meta2 http,train
benign_campaign_20260328_0015,benign_campaign_20260328_0015_N02_run03,benign_campaign_20260328_0015_N02_run03.pcap,N02,normal_http,normal,10,1,ok,172.30.1.23,172.30.1.21,2026-03-28T10:38:06Z,ubuntu curl meta2 http,train
benign_campaign_20260328_0015,benign_campaign_20260328_0015_N02_run04,benign_campaign_20260328_0015_N02_run04.pcap,N02,normal_http,normal,10,1,ok,172.30.1.23,172.30.1.21,2026-03-28T10:38:55Z,ubuntu curl meta2 http,train
benign_campaign_20260328_0015,benign_campaign_20260328_0015_N02_run05,benign_campaign_20260328_0015_N02_run05.pcap,N02,normal_http,normal,10,1,ok,172.30.1.23,172.30.1.21,2026-03-28T10:39:42Z,ubuntu curl meta2 http,train
benign_campaign_20260328_0015,benign_campaign_20260328_0015_N02_run06,benign_campaign_20260328_0015_N02_run06.pcap,N02,normal_http,normal,10,1,ok,172.30.1.23,172.30.1.21,2026-03-28T10:40:27Z,ubuntu curl meta2 http,train
first_campaign_20260327_2212,first_campaign_20260327_2212_N02,first_campaign_20260327_2212_N02.pcap,N02,normal_http,normal,16,1,ok,172.30.1.23,172.30.1.21,2026-03-28T02:11:51Z,ubuntu curl meta2 http,validation
second_campaign_20260327_2220,second_campaign_20260327_2220_N02_run01,second_campaign_20260327_2220_N02_run01.pcap,N02,normal_http,normal,10,1,ok,172.30.1.23,172.30.1.21,2026-03-28T02:28:58Z,ubuntu curl meta2 http,test
second_campaign_20260327_2220,second_campaign_20260327_2220_N02_run02,second_campaign_20260327_2220_N02_run02.pcap,N02,normal_http,normal,10,1,ok,172.30.1.23,172.30.1.21,2026-03-28T02:30:55Z,ubuntu curl meta2 http,test
