capture_id,scenario_id,scenario_family,label_binary,original_flow_count,capped_flow_count,cap_applied
benign_campaign_20260328_0015_N01_run01,N01,normal_icmp,normal,1,1,
benign_campaign_20260328_0015_N01_run02,N01,normal_icmp,normal,1,1,
benign_campaign_20260328_0015_N01_run03,N01,normal_icmp,normal,2,2,
benign_campaign_20260328_0015_N01_run04,N01,normal_icmp,normal,1,1,
benign_campaign_20260328_0015_N01_run05,N01,normal_icmp,normal,1,1,
benign_campaign_20260328_0015_N01_run06,N01,normal_icmp,normal,1,1,
benign_campaign_20260328_0015_N02_run01,N02,normal_http,normal,1,1,
benign_campaign_20260328_0015_N02_run02,N02,normal_http,normal,1,1,
benign_campaign_20260328_0015_N02_run03,N02,normal_http,normal,1,1,
benign_campaign_20260328_0015_N02_run04,N02,normal_http,normal,1,1,
benign_campaign_20260328_0015_N02_run05,N02,normal_http,normal,1,1,
benign_campaign_20260328_0015_N02_run06,N02,normal_http,normal,1,1,
benign_campaign_20260328_0015_N03_run01,N03,normal_http,normal,1,1,
benign_campaign_20260328_0015_N03_run02,N03,normal_http,normal,1,1,
benign_campaign_20260328_0015_N03_run03,N03,normal_http,normal,1,1,
benign_campaign_20260328_0015_N03_run04,N03,normal_http,normal,1,1,
benign_campaign_20260328_0015_N03_run05,N03,normal_http,normal,1,1,
benign_campaign_20260328_0015_N03_run06,N03,normal_http,normal,1,1,
benign_campaign_20260328_0015_N06_run01,N06,normal_dns,normal,1,1,
benign_campaign_20260328_0015_N06_run02,N06,normal_dns,normal,1,1,
benign_campaign_20260328_0015_N06_run03,N06,normal_dns,normal,1,1,
benign_campaign_20260328_0015_N06_run04,N06,normal_dns,normal,1,1,
benign_campaign_20260328_0015_N06_run05,N06,normal_dns,normal,1,1,
benign_campaign_20260328_0015_N06_run06,N06,normal_dns,normal,5,5,
benign_campaign_20260328_0015_N07_run01,N07,normal_bulk_tcp,normal,2,2,
benign_campaign_20260328_0015_N07_run02,N07,normal_bulk_tcp,normal,2,2,
benign_campaign_20260328_0015_N07_run03,N07,normal_bulk_tcp,normal,2,2,
benign_campaign_20260328_0015_N07_run04,N07,normal_bulk_tcp,normal,2,2,
benign_campaign_20260328_0015_N07_run05,N07,normal_bulk_tcp,normal,2,2,
benign_campaign_20260328_0015_N07_run06,N07,normal_bulk_tcp,normal,4,4,
benign_campaign_20260328_0015_N11_run01,N11,normal_wget,normal,1,1,
benign_campaign_20260328_0015_N11_run02,N11,normal_wget,normal,1,1,
benign_campaign_20260328_0015_N11_run03,N11,normal_wget,normal,1,1,
benign_campaign_20260328_0015_N11_run04,N11,normal_wget,normal,1,1,
benign_campaign_20260328_0015_N11_run05,N11,normal_wget,normal,1,1,
benign_campaign_20260328_0015_N11_run06,N11,normal_wget,normal,1,1,
first_campaign_20260327_2212_N01,N01,normal_icmp,normal,1,1,
first_campaign_20260327_2212_N02,N02,normal_http,normal,1,1,
first_campaign_20260327_2212_N03,N03,normal_http,normal,1,1,
first_campaign_20260327_2212_S01,S01,scan_syn,suspect,128,128,
first_campaign_20260327_2212_S02,S02,scan_connect,suspect,254,254,
first_campaign_20260327_2212_S05,S05,syn_burst,suspect,20,20,
second_campaign_20260327_2220_N01_run01,N01,normal_icmp,normal,1,1,
second_campaign_20260327_2220_N01_run02,N01,normal_icmp,normal,1,1,
second_campaign_20260327_2220_N02_run01,N02,normal_http,normal,1,1,
second_campaign_20260327_2220_N02_run02,N02,normal_http,normal,1,1,
second_campaign_20260327_2220_N03_run01,N03,normal_http,normal,1,1,
second_campaign_20260327_2220_N03_run02,N03,normal_http,normal,1,1,
second_campaign_20260327_2220_N06_run01,N06,normal_dns,normal,1,1,
second_campaign_20260327_2220_N06_run02,N06,normal_dns,normal,1,1,
second_campaign_20260327_2220_N07_run01,N07,normal_bulk_tcp,normal,2,2,
second_campaign_20260327_2220_N07_run02,N07,normal_bulk_tcp,normal,2,2,
second_campaign_20260327_2220_N11_run01,N11,normal_wget,normal,1,1,
second_campaign_20260327_2220_N11_run02,N11,normal_wget,normal,1,1,
second_campaign_20260327_2220_S01_run01,S01,scan_syn,suspect,128,128,
second_campaign_20260327_2220_S01_run02,S01,scan_syn,suspect,128,128,
second_campaign_20260327_2220_S02_run01,S02,scan_connect,suspect,258,258,
second_campaign_20260327_2220_S02_run02,S02,scan_connect,suspect,254,254,
second_campaign_20260327_2220_S03_run01,S03,scan_udp,suspect,17,17,
